Ticker,Daily Return_mean,Daily Return_std,Cumulative Return_mean,30 Day MA_mean,30 Day STD_mean,30 Day EMA_mean,RSI_mean,Bollinger High_mean,Bollinger Low_mean,Volume_mean,Principal Component 1,Principal Component 2
ATO,0.00015095343591151771,0.011643476061740642,0.043624681164147826,111.34279694478077,2.272648944369437,111.33965409026864,50.57811567657144,115.88809483351965,106.79749905604189,927891.8552036199,-0.7235747729119406,-0.0630860985374338
AVB,0.0004105194261894021,0.013678205352467566,0.11936712535945485,171.68949773912155,4.896057524611554,171.67809339693864,52.041551274640774,181.48161278834468,161.89738268989848,755219.0045248868,0.4288077656065848,0.16217107588623872
AVGO,0.0031138356345022824,0.02060550295379817,0.4802051336172677,765.9948836612846,32.481880011962126,767.2458965011795,57.756560581230055,830.9586436852088,701.0311236373603,2719740.7239819006,10.846850451465702,0.2303409079405866
AVY,0.0005658093701564375,0.01362165205942937,-0.012719525482174374,176.11468467654865,4.405477076617105,176.25585664387867,53.139773171014596,184.92563882978286,167.30373052331444,509123.07692307694,0.3977955411093936,0.02376309075004265
AWK,-0.0004697257275086024,0.013477145398570613,-0.09318608041143385,136.74115998281073,4.051807979553411,136.80903412680945,46.943286090194725,144.84477594191756,128.63754402370392,1096255.2036199095,-0.8610397809066298,-1.6379109004850996
AXON,0.0016568590639037977,0.02341611860495493,0.24725689569679837,205.96496426911736,8.63796327586785,206.06733255328805,54.34216449717096,223.24089082085305,188.68903771738164,752195.0226244344,1.717185153353346,1.2649519820986581
AXP,0.00031089757692458935,0.015011341724602122,0.11878351760125355,160.40041459257606,5.861730566477446,160.4457084653401,51.46778988759484,172.12387572553098,148.67695345962116,3050935.746606335,0.22675670475398454,0.054955793311086076
BA,0.0010026516842267439,0.01705934619518007,0.08676278150983784,209.68632566011868,8.346931801477691,210.11793365075374,52.59687836966856,226.38018926307407,192.99246205716332,5514140.7239819,1.1113858151847549,0.294820609788935
BALL,0.0004031205250645415,0.02068566745441811,0.04017292189858515,53.04263200716735,2.0177394053353743,53.0711225770692,50.3424561426996,57.078110817838095,49.0071531964966,1879517.1945701358,-1.4250523768530334,0.18845333738277728
BAX,8.596288081612543e-05,0.017977099682326997,-0.19777013426157006,39.512338289631984,1.8428148986716835,39.6106863065601,48.95268953078102,43.197968086975344,35.82670849228861,5113725.791855204,-2.1631317476304726,-0.7642970487766864
BBWI,0.00026770398490656304,0.025870043081770332,-0.15679148117339872,35.7780354320014,1.9471229070255847,35.85425520216346,47.16527661687897,39.67228124605258,31.883789617950235,3593346.606334842,-2.1766633784261606,-0.9563257227852899
BBY,-0.00012826778001214805,0.016849328063932204,-0.04588519145809927,72.60285217031993,2.537329322640815,72.638114923278,47.91136778770123,77.67751081560156,67.5281935250383,2463479.185520362,-1.5664941877024994,-0.8149239066367029
