Ticker,Daily Return_mean,Daily Return_std,Cumulative Return_mean,30 Day MA_mean,30 Day STD_mean,30 Day EMA_mean,RSI_mean,Bollinger High_mean,Bollinger Low_mean,Volume_mean,Principal Component 1,Principal Component 2,Cluster,Cluster_som,Cluster_kmeans,Cluster_dbscan,Cluster_agglomerative,Cluster_gmm,Cluster_hierarchical,Cluster_spectral
PHM,0.0028640474091723,0.0181606223556173,0.6142731016145875,70.84614955159873,3.293835101766471,70.96298419217952,61.48082142634824,77.43381975513167,64.25847934806579,2558947.511312217,0.9074010468188408,5.168839193442738,2,10.0,0,0,0,2,7,0
PKG,0.0008916305741425,0.0151763749846793,0.1379303980610544,138.92323122556752,4.241329971076249,138.95635191925933,53.782634114360974,147.40589116772003,130.44057128341504,644823.9819004525,0.25721072736117,0.9390432445486796,2,19.0,0,0,0,2,6,0
PLD,0.0003984862598586,0.0164587698042513,0.0782966185741144,117.09296957277785,3.6356236647206863,117.157222795229,50.26060993272758,124.36421690221924,109.82172224333648,3112680.0904977378,-0.5512989461216872,0.046544892612691,2,7.0,0,0,0,5,6,0
PM,-0.0001416974739822,0.0103402251513566,-0.038702541259743,91.2562246227696,1.9228119215432748,91.26782561047722,49.3691531433601,95.10184846585616,87.41060077968305,4312008.14479638,-1.3500936832194554,-0.4886033387816904,0,23.0,0,0,0,0,5,0
PNC,0.0001869064041449,0.0196700118803401,-0.1733428529632967,123.86170716666886,5.523183458031707,124.1063011697265,49.970249210186125,134.9080740827323,112.81534025060546,2864744.7963800905,-0.7120197024889791,-1.0468637270881846,2,7.0,0,0,0,5,6,0
PNR,0.0013212763049365,0.0163898557490848,0.3820928458416964,60.07703111053053,2.183316833787604,60.06381847221305,55.36435481435272,64.44366477810573,55.71039744295532,1291084.6153846155,-0.3261001070264442,2.61444056932757,2,11.0,0,0,0,0,7,0
PNW,6.048000822618571e-05,0.0129894440040856,0.0642600564856715,74.0233634212258,1.692422061778617,74.02734579719585,50.66649444463829,77.40820754478304,70.63851929766857,853718.0995475113,-1.1938673280063197,0.1171118184940765,2,11.0,0,0,0,0,7,0
PODD,-0.0011085953080434,0.0260893356361631,-0.1524437350971203,248.337221758398,13.960592911437043,248.77864909943,48.203232912209536,276.2584075812721,220.4160359355239,1013501.8099547512,0.9956743007457866,-3.080318802361353,2,15.0,0,0,0,1,3,1
POOL,0.0005181121743692,0.0192251472123315,0.1780824038534204,347.31265954755554,12.77287053963083,346.93189509958125,49.434075892315725,372.8584006268171,321.7669184682938,391868.3257918552,3.001512356331035,-1.1443889841107588,2,17.0,1,0,0,1,3,1
PPG,0.0008635116288252,0.0141846973194686,0.0916679708172718,133.33014364113097,3.9730299200154016,133.48690048401875,54.177339983917335,141.27620348116176,125.38408380110016,1499975.5656108598,0.1050807824055615,0.911663307791865,2,19.0,0,0,0,2,6,0
